plan_position,plan_uid,asset_plan_index,scene,first_pick_object,source_furniture_type,case_status,navigation_steps,pick_steps,official_termination_reason,automatic_mechanism,reproducible_failure,repeat_pick_steps,repeat_termination_reason,repeat_mechanism,gpu1_process_seconds
15,tidy_house-sequential-val-111-0,111,v3_sc3_staging_07.scene_instance.json,005_tomato_soup_can-0,kitchen_counter,completed,20,43,strict_success,strict_success,,,,,33.11603597179055
16,tidy_house-sequential-val-112-0,112,v3_sc3_staging_10.scene_instance.json,007_tuna_fish_can-0,frl_apartment_table_01,completed,117,29,strict_success,strict_success,,,,,38.88443868979812
17,tidy_house-sequential-val-113-0,113,v3_sc3_staging_00.scene_instance.json,002_master_chef_can-0,kitchen_counter,completed,19,39,strict_success,strict_success,,,,,33.42037779837847
18,tidy_house-sequential-val-114-0,114,v3_sc3_staging_11.scene_instance.json,002_master_chef_can-0,kitchen_counter,completed,20,40,strict_success,strict_success,,,,,33.36910778656602
19,tidy_house-sequential-val-115-0,115,v3_sc3_staging_19.scene_instance.json,004_sugar_box-0,frl_apartment_chair_01,completed,22,200,pick_horizon_exhausted,grasped_but_incomplete,False,50,strict_success,strict_success,53.03149499371648
20,tidy_house-sequential-val-116-0,116,v3_sc3_staging_14.scene_instance.json,009_gelatin_box-0,frl_apartment_tvstand,completed,62,13,cumulative_force_limit,base_obstacle_collision,True,13,cumulative_force_limit,base_obstacle_collision,38.1338038854301
21,tidy_house-sequential-val-117-0,117,v3_sc3_staging_07.scene_instance.json,024_bowl-0,kitchen_counter,completed,28,39,strict_success,strict_success,,,,,33.32111758366227
22,tidy_house-sequential-val-118-0,118,v3_sc3_staging_05.scene_instance.json,007_tuna_fish_can-0,frl_apartment_table_01,completed,38,36,strict_success,strict_success,,,,,34.22346852347255
23,tidy_house-sequential-val-119-0,119,v3_sc3_staging_18.scene_instance.json,002_master_chef_can-0,frl_apartment_chair_01,completed,90,14,cumulative_force_limit,base_obstacle_collision,True,14,cumulative_force_limit,base_obstacle_collision,41.09532267972827
24,tidy_house-sequential-val-12-0,12,v3_sc3_staging_15.scene_instance.json,024_bowl-0,kitchen_counter,completed,21,26,strict_success,strict_success,,,,,32.71925278007984
25,tidy_house-sequential-val-120-0,120,v3_sc3_staging_00.scene_instance.json,004_sugar_box-0,frl_apartment_sofa,completed,145,12,cumulative_force_limit,base_obstacle_collision,True,12,cumulative_force_limit,base_obstacle_collision,44.20220746845007
26,tidy_house-sequential-val-121-0,121,v3_sc3_staging_02.scene_instance.json,004_sugar_box-0,frl_apartment_sofa,completed,142,14,cumulative_force_limit,base_obstacle_collision,True,14,cumulative_force_limit,base_obstacle_collision,46.561944238841534
